name,type,category,age,structure,morphology,size,reserve,lat,long,status1983,size_viz,res_viz
MDHILLA,phosphate,category 2,neogene,Saharan platform,Stratiform and peneconformable deposit,50 000 000 - 200 000 000 T,75-95%,34.257587376540002,8.754608938510000,unknown,"162500000","85"
J. SHIB,phosphate,category 3,neogene,Saharan platform,Stratiform and peneconformable deposit,1 000 000 - 50 000 000 T,limited,34.272868260849997,8.678329632860002,unknown,"49020000",
JELLEBIYYA,phosphate,category 2,neogene,Saharan platform,Stratiform and peneconformable deposit,50 000 000 - 200 000 000 T,limited,34.227855583009998,8.634386102870000,unknown,"162500000",
LMZINDA,phosphate,category 2,neogene,Saharan platform,Stratiform and peneconformable deposit,50 000 000 - 200 000 000 T,limited,34.251590502649996,8.529839331070002,unknown,"162500000",
OM LKHSHEB,phosphate,category 3,cretaceous,Saharan platform,Stratiform and peneconformable deposit,1 000 000 - 50 000 000 T,limited,34.356349220609999,8.477788752149999,unknown,"49020000",
SECTOR  100,phosphate,category 3,cretaceous,Saharan platform,Stratiform and peneconformable deposit,1 000 000 - 50 000 000 T,limited,34.404086249430001,8.540428609350000,unknown,"49020000",
KEF ISH SHFEYIR,phosphate,category 2,neogene,Saharan platform,Stratiform and peneconformable deposit,50 000 000 - 200 000 000 T,limited,34.398089046530004,8.432858470519999,unknown,"162500000",
LMETLAWWI,phosphate,category 2,eocene - oligocene,Saharan platform,Stratiform and peneconformable deposit,50 000 000 - 200 000 000 T,75-95%,34.326811442990000,8.415259379040000,unknown,"162500000","85"
KEF ED DOUR,phosphate,category 2,neogene,Saharan platform,Stratiform and peneconformable deposit,50 000 000 - 200 000 000 T,limited,34.408269263329998,8.286379572430000,unknown,"162500000",
RDEYYEF,phosphate,category 2,neogene,intracratonic basin,Stratiform and peneconformable deposit,50 000 000 - 200 000 000 T,75-95%,34.381799995690002,8.145350488569999,unknown,"162500000","85"
OM LARAYIS,phosphate,category 3,neogene,Saharan platform,Stratiform and peneconformable deposit,1 000 000 - 50 000 000 T,35-75%,34.505489333729997,8.244022456510002,unknown,"49020000","55"
LMRATA,phosphate,category 3,cretaceous,Saharan platform,Stratiform and peneconformable deposit,1 000 000 - 50 000 000 T,limited,34.547664541369997,8.184678976580004,unknown,"49020000",
IIN NOUBA,plomb - zinc,category 3,cretaceous,Mole of EL GASRIN,Stratiform and peneconformable deposit,10 000 - 100 000 T,limited,35.163295671509999,8.956161886340000,unknown,"91000",
J. SKARNA,plomb - zinc,category 3,quaternary,cretaceous - tertiary basin,Stratiform and peneconformable deposit,10 000 - 100 000 T,limited,35.743168915689999,9.065144641410001,unknown,"91000",
SRA WERTEN,phosphate,category 1,cretaceous,cretaceous - tertiary basin,Stratiform and peneconformable deposit,> 200 000 000 T,limited,35.846878028490003,8.863110440370004,unknown,"200000000",
JRISA,iron,category 1,cretaceous,cretaceous - tertiary basin,Stratiform and peneconformable deposit,> 20 000 000 T,35-75%,35.853152563130003,8.699357507009999,unknown,"20000000","55"
NEBBER,iron,category 3,triasic,cretaceous - tertiary basin,Stratiform and peneconformable deposit,500 000 - 5 000 000 T,limited,36.332948736290000,8.798113013340000,unknown,,
NEBBER,plomb - zinc,category 3,quaternary,cretaceous - tertiary basin,Stratiform and peneconformable deposit,10 000 - 100 000 T,limited,36.347568783850001,8.848731688710000,unknown,"91000",
FEJ LHEDOUM,plomb - zinc,category 1,neogene,cretaceous - tertiary basin,Stratiform and peneconformable deposit,> 400 000 T,75-95%,36.412155230110002,9.208988202520000,unknown,"400000","85"
KODYA SAFRA,plomb - zinc,category 3,cretaceous,cretaceous - tertiary basin,Stratiform and peneconformable deposit,10 000 - 100 000 T,limited,36.440515659479999,9.506867285020000,unknown,"91000",
HAMMEM ZRIBA,fluorite,category 2,cretaceous,Mole of ZAGHWEN,Stratiform and peneconformable deposit,1 000 000 - 5 000 000 T,75-95%,36.325917583790002,10.224761204189999,unknown,"4200000","85"
HAMMEM ZRIBA,barite - strontianite,category 2,cretaceous,Mole of ZAGHWEN,Stratiform and peneconformable deposit,1 000 000 - 5 000 000 T,75-95%,36.308925975660003,10.224758866560000,unknown,"4200000","85"
J. GEBLI,plomb - zinc,category 2,cretaceous,Mole of ZAGHWEN,Stratiform and peneconformable deposit,100 000 - 400 000 T,limited,36.295635134350000,10.224216322180000,unknown,"325000",
JALTA,plomb - zinc,category 2,cretaceous,Miocene basin,Stratiform and peneconformable deposit,100 000 - 400 000 T,limited,37.063831807699998,9.551630015100001,unknown,"325000",
J. SEMMEN,plomb - zinc,category 3,cretaceous,Miocene basin,Stratiform and peneconformable deposit,10 000 - 100 000 T,limited,36.959500847939999,9.405215986520000,unknown,"91000",
DHWEHIRIYYA,iron,category 2,neogene,The Numidian Flysch,Stratiform and peneconformable deposit,5 000 000 - 20 000 000 T,limited,37.069037037139999,9.214194070540000,unknown,"16250000",
SIDI DRIS,plomb - zinc,category 2,eocene - oligocene,The Numidian Flysch,Stratiform and peneconformable deposit,100 000 - 400 000 T,limited,37.107788962249998,9.152982694140000,unknown,"325000",
KHANGET KEP TOUT,plomb - zinc,category 2,eocene - oligocene,Miocene basin,Stratiform and peneconformable deposit,100 000 - 400 000 T,limited,36.894258136120001,9.154082277050000,unknown,"325000",
LHEWWERIYYA,plomb - zinc,category 3,eocene - oligocene,Miocene basin,Stratiform and peneconformable deposit,10 000 - 100 000 T,limited,36.700115788209999,9.125682399150000,unknown,"91000",
J. TWILA,plomb - zinc,category 3,eocene - oligocene,Mole of EL GASRIN,deposit in heaps and various,10 000 - 100 000 T,limited,35.393542729399996,9.694914834760000,unknown,"91000",
DOULEB,petrol,category 3,cretaceous,Mole of EL GASRIN,petrol and gaz deposit,< 500 000 000 T,8-25%,35.423444872689998,8.903021032140000,in-operation,"500000000","17"
SEMMEMA,petrol,category 3,cretaceous,Mole of EL GASRIN,petrol and gaz deposit,< 500 000 000 T,8-25%,35.369062582849999,8.881688739430000,in-operation,"500000000","17"
LGALAA LKHASBA,phosphate,category 3,cretaceous,cretaceous - tertiary basin,Stratiform and peneconformable deposit,1 000 000 - 50 000 000 T,35-75%,35.694863312179997,8.592784382070002,unknown,"49020000","55"
,plomb - zinc,index,triasic,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.181680138120001,8.361181073890000,unknown,"10000",
,plomb - zinc,index,neogene,The Numidian Flysch,unclassified,< 10 000 T,limited,37.045619653320003,8.996161330020000,unknown,"10000",
LMAKHROUGA,petrol,category 3,ordovician - triasic,Saharan platform,petrol and gaz deposit,< 500 000 000 T,limited,31.872826720970000,10.163848039399999,under-research,"500000000",
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,37.017467239310001,9.234203291520000,unknown,"10000",
,plomb - zinc,index,triasic,Miocene basin,unclassified,< 10 000 T,limited,36.617005589359998,8.552223776040000,unknown,"10000",
J THEBI BEN KSOURI,antimony - arsenic,category 3,neogene,Miocene basin,Stratiform and peneconformable deposit,> 500 T,limited,36.456417012579998,8.479179378450000,unknown,,
J.BAZINA,plomb - zinc,category 3,cretaceous,Miocene basin,vein deposit,10 000 - 100 000 T,limited,36.997281655190001,9.283382650420000,unknown,"91000",
,iron,index,eocene - oligocene,The Numidian Flysch,unclassified,< 500 000 T,limited,37.040539878739999,9.129038151280000,unknown,,
